wall_clock,board_ms,seq,board_drops,pc_gaps,board_bad,board_miss,board_dspmax_us,srv_bad,free_heap,marker,event
17:27:09,1445664,0,56359,56359,0,0,0,0,175272,0,
17:27:10,1446667,0,56359,56359,0,0,0,0,173340,0,
17:27:11,1446667,30,56359,56359,0,0,0,0,173340,30,marker
17:27:11,1447669,0,56359,56359,0,0,0,0,160152,30,
17:27:11,1447669,0,56359,56359,0,0,0,0,160152,0,marker
17:27:11,1447669,40,56359,56359,0,0,0,0,160152,40,marker
17:27:12,1447669,0,56359,56359,0,0,0,0,160152,0,marker
17:27:12,1448677,0,56359,56359,0,0,0,0,173332,0,
17:27:13,1449678,0,56359,56359,0,0,0,0,172096,0,
17:27:14,1449678,20,56359,56359,0,0,0,0,172096,20,marker
17:27:14,1450680,0,56359,56359,0,0,0,0,163668,20,
17:27:15,1451682,0,56359,56359,0,0,0,0,171748,0,
17:27:16,1452685,0,56359,56359,0,0,0,0,162084,0,
17:27:17,1453687,0,56359,56359,0,0,0,0,171748,0,
17:27:18,1454694,0,56359,56359,0,0,0,0,173680,0,
17:27:19,1455697,0,56359,56359,0,0,0,0,165948,0,
17:27:20,1456699,0,56359,56359,0,0,0,0,171748,0,
17:27:21,1457702,0,56359,56359,0,0,0,0,175272,0,
17:27:22,1458704,0,56359,56359,0,0,0,0,172096,0,
17:27:23,1459707,0,56359,56359,0,0,0,0,173680,0,
17:27:24,1459707,30,56359,56359,0,0,0,0,173680,30,marker
17:27:24,1460710,0,56359,56359,0,0,0,0,167880,30,
17:27:24,1460710,40,56359,56359,0,0,0,0,167880,40,marker
17:27:25,1461711,0,56359,56359,0,0,0,0,173680,0,
17:27:26,1462713,0,56359,56359,0,0,0,0,167532,0,
17:27:27,1462713,21,56359,56359,0,0,0,0,167532,21,marker
17:27:27,1463714,0,56359,56359,0,0,0,0,175264,21,
17:27:27,1463714,0,56359,56359,0,0,0,0,175264,0,marker
17:27:28,1464717,0,56359,56359,0,0,0,0,172096,0,
17:27:29,1465720,0,56359,56359,0,0,0,0,173328,0,
17:27:30,1466721,0,56359,56359,0,0,0,0,175264,0,
17:27:31,1467724,0,56359,56359,0,0,0,0,171400,0,
17:27:32,1468725,0,56359,56359,0,0,0,0,175264,0,
17:27:33,1469726,0,56359,56359,0,0,0,0,173680,0,
17:27:34,1470727,0,56359,56359,0,0,0,0,173680,0,
17:27:35,1471728,0,56359,56359,0,0,0,0,165600,0,
17:27:36,1472729,0,56359,56359,0,0,0,0,173680,0,
17:27:37,1472729,30,56359,56359,0,0,0,0,173680,30,marker
17:27:37,1472729,0,56359,56359,0,0,0,0,173680,0,marker
17:27:37,1473739,0,56359,56359,0,0,0,0,173332,0,
17:27:37,1473739,40,56359,56359,0,0,0,0,173332,40,marker
17:27:38,1474740,0,56359,56359,0,0,0,0,172096,0,
17:27:39,1475744,0,56359,56359,0,0,0,0,173680,0,
17:27:40,1475744,20,56359,56359,0,0,0,0,173680,20,marker
17:27:40,1475744,0,56359,56359,0,0,0,0,173680,0,marker
17:27:40,1476745,0,56359,56359,0,0,0,0,160276,0,
17:27:41,1477758,0,56359,56359,0,0,0,0,172096,0,
17:27:42,1478761,0,56359,56359,0,0,0,0,173680,0,
17:27:43,1479763,0,56359,56359,0,0,0,0,172104,0,
17:27:44,1480765,0,56359,56359,0,0,0,0,172096,0,
17:27:45,1481767,0,56359,56359,0,0,0,0,163668,0,
17:27:46,1482769,0,56359,56359,0,0,0,0,171748,0,
17:27:47,1483771,0,56359,56359,0,0,0,0,173680,0,
17:27:48,1484772,0,56359,56359,0,0,0,0,173680,0,
17:27:49,1485773,0,56359,56359,0,0,0,0,171400,0,
17:27:50,1485773,30,56359,56359,0,0,0,0,171400,30,marker
17:27:50,1486774,0,56359,56359,0,0,0,0,173680,0,
17:27:51,1486774,40,56359,56359,0,0,0,0,173680,40,marker
17:27:51,1486774,0,56359,56359,0,0,0,0,173680,0,marker
17:27:51,1487776,0,56359,56359,0,0,0,0,175264,0,
17:27:52,1488778,0,56359,56359,0,0,0,0,173332,0,
17:27:53,1488778,20,56359,56359,0,0,0,0,173332,20,marker
17:27:53,1488778,0,56359,56359,0,0,0,0,173332,0,marker
17:27:53,1489781,0,56359,56359,0,0,0,0,171748,0,
17:27:54,1490787,0,56359,56359,0,0,0,0,173680,0,
17:27:55,1491789,0,56359,56359,0,0,0,0,168772,0,
17:27:56,1492790,0,56359,56359,0,0,0,0,173680,0,
17:27:57,1493791,0,56359,56359,0,0,0,0,173688,0,
17:27:58,1494793,0,56359,56359,0,0,0,0,168572,0,
17:27:59,1495796,0,56359,56359,0,0,0,0,162084,0,
17:28:00,1496797,0,56359,56359,0,0,0,0,173332,0,
17:28:01,1497798,0,56359,56359,0,0,0,0,173680,0,
17:28:02,1498801,0,56359,56359,0,0,0,0,173680,0,
17:28:03,1498801,30,56359,56359,0,0,0,0,173680,30,marker
17:28:03,1499802,0,56359,56359,0,0,0,0,171400,0,
17:28:03,1499802,40,56359,56359,0,0,0,0,171400,40,marker
17:28:03,1499802,0,56359,56359,0,0,0,0,171400,0,marker
17:28:04,1500803,0,56359,56359,0,0,0,0,165948,0,
17:28:05,1501804,0,56359,56359,0,0,0,0,175272,0,
17:28:06,1501804,20,56359,56359,0,0,0,0,175272,20,marker
17:28:06,1501804,0,56359,56359,0,0,0,0,175272,0,marker
17:28:06,1502806,0,56359,56359,0,0,0,0,173680,0,
17:28:07,1503808,0,56359,56359,0,0,0,0,173124,0,
17:28:08,1504816,0,56359,56359,0,0,0,0,173332,0,
17:28:09,1505818,0,56359,56359,0,0,0,0,165948,0,
17:28:10,1506819,0,56359,56359,0,0,0,0,173680,0,
17:28:11,1507821,0,56359,56359,0,0,0,0,173680,0,
17:28:12,1508824,0,56359,56359,0,0,0,0,175264,0,
17:28:13,1509826,0,56359,56359,0,0,0,0,159804,0,
17:28:14,1510833,0,56359,56359,0,0,0,0,171748,0,
17:28:15,1511836,0,56359,56359,0,0,0,0,175264,0,
17:28:16,1511836,30,56359,56359,0,0,0,0,175264,30,marker
17:28:16,1511836,0,56359,56359,0,0,0,0,175264,0,marker
17:28:16,1511836,40,56359,56359,0,0,0,0,175264,40,marker
17:28:16,1512837,0,56359,56359,0,0,0,0,173680,40,
17:28:16,1512837,0,56359,56359,0,0,0,0,173680,0,marker
17:28:17,1513838,0,56359,56359,0,0,0,0,175264,0,
17:28:18,1514841,0,56359,56359,0,0,0,0,161736,0,
17:28:19,1514841,21,56359,56359,0,0,0,0,161736,21,marker
17:28:19,1515844,0,56359,56359,0,0,0,0,173680,0,
17:28:20,1516846,0,56359,56359,0,0,0,0,173680,0,
17:28:21,1517849,0,56359,56359,0,0,0,0,173680,0,
17:28:22,1518852,0,56359,56359,0,0,0,0,175264,0,
17:28:23,1519855,0,56359,56359,0,0,0,0,173680,0,
